ID,NAME,URL
1,Hypersonic Tunnel,https://www.aoe.vt.edu/research/facilities/hyperson.html
2,Hot Jet Facility,
3,Stereoscopic PIV,
4,2-Bay UAS Hangar,
5,2100 sf paved UAS Runway,
6,Space Cosntellation Navigation and Timing Simulators,
7,Satellite Assembly Clean Room,
8,Attitude Determination and Control System Simulators,
9,Propulsion & Plasma Vacuum Chamber,
10,Anechoic Wall-Jet Wind Tunnel,
11,Boundary Layer Wind Tunnel,https://www.aoe.vt.edu/research/facilities/bllab.html
12,Wedge Drop Facility (Water Tank),
13,Drag-Reduction Test Facility,
14,Open-Circuit Wind Tunnel,
15,Smoke Tunnel,
16,High Speed PIV System,
17,Water Tunnel,
18,Portable LDV System,
19,Continuous Wave DGV System,
20,High Speed DGV System,
21,Towing Basin,https://www.aoe.vt.edu/testpages/researchupdate1708/facilities/towingba.html
22,Hydrostatic Tank,
23,Hypersonic Tunnel,https://www.aoe.vt.edu/research/facilities/hyperson.html
24,Mini Water Tunnel,
25,Aerostructures Axial-Torsional Test Facility,https://www.aoe.vt.edu/research/facilities/axlfacil.html
